check,status,value
scenario_bank_has_at_least_8_items,pass,44
japanese_past_exam_style_present,pass,src/courses/fundamental-info/examScenarios.ts
long_form_trace_present,pass,src/courses/fundamental-info/examScenarios.ts
sql_step_by_step_present,pass,src/courses/fundamental-info/examScenarios.ts
scenario_drill_component_renders_traps,pass,src/features/knowledge-graph/components/FundamentalInfoScenarioDrills.tsx
practice_embeds_scenario_drills,pass,src/features/knowledge-graph/components/FundamentalInfoPracticeDrills.tsx
exam_simulator_has_v61_recommendations,pass,src/features/knowledge-graph/components/FundamentalInfoExamSimulator.tsx
focus_mode_points_to_v61_scenarios,pass,src/features/knowledge-graph/components/FundamentalInfoFocusMode.tsx
verify_includes_v61_audit,pass,scripts/verify.mjs
